Id,Title,Senior,Company,Location,Salary,Currency
11,Data Reliability Engineer,FALSE,Unit8 SA,"Wrocław, POL
 + 1",16 000  - 26 000  PLN,PLN
12,Senior Data Scientist (A&amp;PC),TRUE,hubQuest,Remote,29 000  - 37 000  PLN,PLN
13,Data Engineer,FALSE,Ringier Axel Springer Tech,"Warszawa, POL
 + 2",10 100  - 16 900  PLN,PLN
14,Remote Senior Java Developer/Architect,TRUE,Jit Team,Remote,30 000  - 40 000  PLN,PLN
15,Remote MLOps Engineer,FALSE,Link Group,Remote,23 520  - 28 560  PLN,PLN
16,NLP ML Engineer – Data Scientist,FALSE,Silver Bullet Soluions Sp. z o.o.,"Warsaw, POL
 + 1",12 500  - 14 500  PLN,PLN
17,AI Developer / Data Scientist,FALSE,Algomine,Remote,13 440  - 25 200  PLN,PLN
18,Senior Machine Learning Engineer,TRUE,Grape Up,Remote,19 100  - 34 000  PLN,PLN
19,Senior NLP Data Scientist,TRUE,Applica Sp. z o.o.,Remote,18 000  - 23 000  PLN,PLN
20,Data Analyst,FALSE,Schneider Electric,"Warszawa, POL",10 500  - 16 000  PLN,PLN
21,Python Machine Learning Engineer,FALSE,Pointpack,Remote,26 000  - 30 000  PLN,PLN
22,Data Science Leader,TRUE,Global App Testing,Remote,25 000  - 35 000  PLN,PLN
23,Remote Mid AI developer,FALSE,Spectre Solutions sp. z o.o.,Remote,12 000  - 22 000  PLN,PLN
24,Remote Python Machine Learning Engineer,FALSE,DTiQ,Remote,10 000  - 14 000  PLN,PLN
25,MLOps Engineer,FALSE,MX Labs,Remote,16 000  - 22 000  PLN,PLN
26,AI Engineer,FALSE,Lingaro,Remote,23 520  - 30 240  PLN,PLN
27,Data Scientist,FALSE,AVENGA,Remote,15 120  - 26 880  PLN,PLN
28,Remote Data Scientist,FALSE,Varwise,Remote,26 000  - 30 000  PLN,PLN
29,Robotics Engineer,FALSE,Unitem,"Wrocław, POL",12 000  - 18 000  PLN,PLN
30,Remote Senior AI NLP IT Proffesional,TRUE,Roche,Remote,13 000  - 17 500  PLN,PLN
31,MLOps Engineer,FALSE,Addepto,Remote,20 160  - 30 240  PLN,PLN
32,MLOps Engineer,FALSE,hubQuest,Remote,23 000  - 30 000  PLN,PLN
33,Senior Cloud Automation Engineer,TRUE,ERGO Technology &amp; Services S.A.,Remote,17 000  - 19 000  PLN,PLN
34,Data Scientist,FALSE,Hays Poland,Remote,16 800  - 20 160  PLN,PLN
35,Senior Data Scientist,TRUE,hubQuest,Remote,25 000  - 34 000  PLN,PLN
36,Data Scientist,FALSE,Addepto,Remote,18 480  - 28 560  PLN,PLN
37,Senior Machine Learning Engineer,TRUE,Devire,Remote,26 000  - 32 000  PLN,PLN
38,Senior AI Engineer,TRUE,Link Group,Remote,27 000  - 30 000  PLN,PLN
39,Senior AI Engineer,TRUE,Link Group,Remote,28 000  - 33 000  PLN,PLN
40,Junior Data Scientist,FALSE,S&amp;P Global,Remote,10 000  - 13 000  PLN,PLN
41,Advanced Analytics Consultant,FALSE,UNICEF,"Budapest, HUN",18 923  - 23 654  PLN,PLN
1,Remote Data Scientist (Python),FALSE,Lingaro,Remote,15 120  - 21 840  PLN,PLN
2,Senior Research Engineer (R&amp;D),TRUE,SoftServe,Remote,20 000  - 25 000  PLN,PLN
3,Remote Data Scientist (NLP),FALSE,Lingaro,Remote,20 160  - 30 240  PLN,PLN
4,Sr. Software Engineer (Machine Learning),FALSE,Affirm,Remote,22 042  - 24 247  PLN,PLN
5,Python Developer / ML Engineer,FALSE,hubQuest,Remote,20 000  - 25 000  PLN,PLN
6,Junior Data Scientist,FALSE,Webinterpret,Remote,8 000  - 12 000  PLN,PLN
7,AI Engineer,FALSE,Tascent Inc.,"Wrocław, POL",13 637  - 27 275  PLN,PLN
8,Machine Learning Engineer,FALSE,10 Senses,"Warszawa, POL
 + 1",16 800  - 30 240  PLN,PLN
9,Senior Data Scientist,TRUE,Lerta,Remote,18 500  - 26 500  PLN,PLN
10,Senior Data Scientist (Supply Chain),TRUE,hubQuest,Remote,29 000  - 37 000  PLN,PLN
11,Python Machine Learning Engineer,FALSE,Numlabs,Remote,8 000  - 12 000  PLN,PLN
12,Data Reliability Engineer,FALSE,Unit8 SA,"Kraków, POL
 + 1",16 000  - 26 000  PLN,PLN
